cust_key,customer_id,age,gender,tenure_months,credit_score,num_products,is_churned,churn_month,clv_ltv,avg_monthly_balance,avg_ticket_res_time_hrs,total_tickets,high_severity_tickets,offers_received,offers_accepted,offer_acceptance_rate,dw_start_date,dw_end_date,is_current,geography
3,15565714,47,Male,12,601,2,0,NULL,1494.73,62280.412500000006,NULL,2,0,4,0,0.0,2024-12-31,9999-12-31,1,France
6,15565806,38,Male,108,532,2,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
8,15565879,28,Female,108,845,2,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
9,15565891,39,Male,96,709,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
10,15565996,44,Male,96,653,2,0,NULL,0.0,0.0,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
13,15566111,39,Male,108,596,1,0,NULL,0.0,0.0,NULL,0,0,4,2,0.5,2024-12-31,9999-12-31,1,France
14,15566139,37,Female,60,526,1,0,NULL,6706.45,55887.10499999998,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
17,15566251,37,Female,60,618,1,1,2024-05,11561.51,96345.92647058825,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
19,15566269,25,Male,60,787,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
21,15566295,33,Female,72,761,1,0,NULL,20083.84,139471.08416666667,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
23,15566378,48,Male,60,515,1,1,2024-08,15415.75,128464.55200000003,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
26,15566494,45,Male,24,487,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
30,15566563,30,Female,48,777,2,1,2024-02,13429.02,139885.575,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
33,15566660,41,Female,120,670,3,0,NULL,0.0,0.0,-5.010000000000001,4,1,1,0,0.0,2024-12-31,9999-12-31,1,France
35,15566708,45,Female,48,444,2,1,2024-04,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
38,15566790,28,Male,96,598,2,0,NULL,24678.83,128535.57874999999,NULL,1,1,1,1,1.0,2024-12-31,9999-12-31,1,France
41,15566894,39,Male,36,793,1,0,NULL,10127.16,140655.0241666667,4.825,3,1,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
46,15567078,27,Female,96,789,1,0,NULL,12616.77,65712.32541666664,NULL,0,0,2,1,0.5,2024-12-31,9999-12-31,1,France
47,15567114,35,Male,12,430,1,0,NULL,2948.9,122870.90583333334,3.7600000000000007,3,3,2,0,0.0,2024-12-31,9999-12-31,1,France
51,15567333,31,Female,84,712,2,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
52,15567335,42,Female,84,559,2,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
53,15567339,73,Male,108,735,1,0,NULL,0.0,0.0,1.0150000000000001,5,3,2,1,0.5,2024-12-31,9999-12-31,1,France
57,15567422,42,Male,72,630,2,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
58,15567431,64,Male,24,773,1,0,NULL,6838.12,142460.79958333334,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
60,15567442,75,Female,36,656,2,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
64,15567557,27,Male,24,573,2,0,NULL,6121.98,127541.14833333333,-1.55,3,1,5,0,0.0,2024-12-31,9999-12-31,1,France
66,15567725,46,Female,84,689,3,0,NULL,8589.36,51127.115,NULL,3,3,3,0,0.0,2024-12-31,9999-12-31,1,France
69,15567832,40,Female,84,550,1,0,NULL,19166.21,114084.60416666669,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
70,15567834,49,Male,60,719,1,0,NULL,12457.93,103816.06666666667,NULL,0,0,5,2,0.4,2024-12-31,9999-12-31,1,France
71,15567839,42,Male,108,501,1,0,NULL,24999.77,115739.68458333332,NULL,2,0,0,0,NULL,2024-12-31,9999-12-31,1,France
72,15567855,29,Female,12,623,3,0,NULL,0.0,0.0,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
77,15567923,30,Female,72,739,1,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
81,15568006,45,Female,24,634,4,1,2024-07,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
82,15568025,51,Male,96,758,1,0,NULL,15908.75,82858.07208333333,-0.78,3,2,4,1,0.25,2024-12-31,9999-12-31,1,France
84,15568044,31,Female,84,508,1,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
85,15568046,24,Male,84,809,1,0,NULL,18143.36,107996.20041666664,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
87,15568104,26,Female,72,749,2,0,NULL,0.0,0.0,NULL,1,0,4,0,0.0,2024-12-31,9999-12-31,1,France
88,15568106,38,Female,96,592,2,0,NULL,23606.52,122950.63124999998,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
89,15568120,37,Female,84,681,1,0,NULL,11419.12,67970.96916666666,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
91,15568164,34,Female,48,850,2,0,NULL,6879.87,71665.34958333334,7.45,3,1,1,0,0.0,2024-12-31,9999-12-31,1,France
94,15568326,44,Female,24,637,2,0,NULL,0.0,0.0,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
95,15568328,22,Female,72,488,2,0,NULL,0.0,0.0,NULL,1,0,1,0,0.0,2024-12-31,9999-12-31,1,France
99,15568469,43,Male,0,653,2,0,NULL,0.0,0.0,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
100,15568487,35,Male,84,712,1,0,NULL,21428.25,127549.09749999999,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
102,15568519,41,Male,108,534,3,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
103,15568562,40,Male,96,689,1,0,NULL,31097.98,161968.65291666667,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
105,15568595,64,Male,108,544,2,0,NULL,24126.5,111696.75124999999,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
106,15568742,41,Female,108,536,2,0,NULL,0.0,0.0,2.033333333333333,3,1,1,0,0.0,2024-12-31,9999-12-31,1,France
111,15568876,34,Female,12,496,1,0,NULL,2469.6,102900.18541666666,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
115,15568915,38,Male,72,681,1,0,NULL,21942.53,152378.65791666668,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
116,15568953,27,Male,12,477,1,0,NULL,3056.47,127352.86791666666,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
