offer_id,customer_id,offer_type,accepted,date_offered
OFF000001,15634602,credit_card_upgrade,1,2023-10-09
OFF000002,15634602,loan_preapproval,0,2023-04-15
OFF000003,15634602,fee_waiver,1,2024-03-08
OFF000004,15634602,credit_card_upgrade,1,2023-08-12
OFF000005,15634602,loan_preapproval,0,2023-01-28
OFF000006,15647311,loan_preapproval,0,2024-12-19
OFF000007,15647311,fee_waiver,0,2024-04-04
OFF000008,15647311,fee_waiver,0,2023-01-07
OFF000009,15647311,loan_preapproval,0,2023-12-15
OFF000010,15619304,loan_preapproval,0,2023-12-11
OFF000011,15619304,credit_card_upgrade,1,2023-04-10
OFF000012,15701354,savings_bonus,0,2023-02-14
OFF000013,15701354,insurance_bundle,0,2024-01-23
OFF000014,15574012,savings_bonus,0,2024-09-25
OFF000015,15574012,savings_bonus,0,2024-12-22
OFF000016,15574012,credit_card_upgrade,1,2023-08-22
OFF000017,15574012,savings_bonus,0,2023-08-27
OFF000018,15656148,savings_bonus,0,2024-01-09
OFF000019,15656148,loan_preapproval,0,2023-08-03
OFF000020,15656148,savings_bonus,0,2024-11-30
OFF000021,15792365,credit_card_upgrade,0,2023-06-25
OFF000022,15792365,fee_waiver,0,2023-06-17
OFF000023,15792365,insurance_bundle,0,2024-10-17
OFF000024,15792365,fee_waiver,0,2023-11-29
OFF000025,15792365,credit_card_upgrade,0,2023-02-02
OFF000026,15592389,insurance_bundle,0,2023-08-05
OFF000027,15592389,fee_waiver,0,2023-11-19
OFF000028,15767821,insurance_bundle,0,2024-10-20
OFF000029,15737173,loan_preapproval,0,2023-09-10
OFF000030,15737173,fee_waiver,0,2024-08-21
OFF000031,15737173,insurance_bundle,0,2024-02-13
OFF000032,15632264,loan_preapproval,0,2023-05-22
OFF000033,15632264,fee_waiver,0,2023-02-18
OFF000034,15600882,loan_preapproval,0,2024-03-08
OFF000035,15643966,credit_card_upgrade,0,2024-09-02
OFF000036,15643966,insurance_bundle,0,2024-07-20
OFF000037,15643966,credit_card_upgrade,0,2023-04-28
OFF000038,15643966,fee_waiver,0,2024-10-18
OFF000039,15737452,credit_card_upgrade,0,2023-06-11
OFF000040,15737452,insurance_bundle,1,2023-09-27
OFF000041,15788218,loan_preapproval,0,2023-04-19
OFF000042,15788218,savings_bonus,0,2024-06-03
OFF000043,15788218,fee_waiver,0,2024-01-18
OFF000044,15788218,loan_preapproval,0,2024-06-27
OFF000045,15568982,savings_bonus,0,2023-04-25
OFF000046,15568982,savings_bonus,0,2023-11-11
OFF000047,15568982,loan_preapproval,1,2024-08-03
OFF000048,15568982,credit_card_upgrade,1,2024-05-12
OFF000049,15597945,loan_preapproval,0,2024-05-01
OFF000050,15597945,fee_waiver,0,2024-06-24
OFF000051,15597945,fee_waiver,0,2023-08-05
OFF000052,15597945,fee_waiver,0,2024-12-07
OFF000053,15699309,savings_bonus,0,2024-11-18
OFF000054,15725737,savings_bonus,0,2024-06-13
OFF000055,15725737,insurance_bundle,0,2023-08-19
OFF000056,15725737,credit_card_upgrade,0,2024-08-25
OFF000057,15725737,fee_waiver,0,2023-08-14
OFF000058,15725737,credit_card_upgrade,1,2024-10-08
OFF000059,15738191,credit_card_upgrade,0,2023-12-05
OFF000060,15700772,loan_preapproval,0,2024-05-12
OFF000061,15700772,loan_preapproval,0,2024-08-07
OFF000062,15700772,fee_waiver,0,2024-04-29
OFF000063,15700772,insurance_bundle,0,2023-04-10
OFF000064,15728693,insurance_bundle,0,2024-02-25
OFF000065,15728693,insurance_bundle,0,2023-02-25
OFF000066,15728693,credit_card_upgrade,1,2023-12-14
OFF000067,15728693,credit_card_upgrade,0,2023-07-14
OFF000068,15728693,fee_waiver,0,2024-03-08
OFF000069,15656300,savings_bonus,0,2023-03-19
OFF000070,15589475,fee_waiver,1,2024-10-29
OFF000071,15589475,fee_waiver,0,2023-04-06
OFF000072,15589475,loan_preapproval,0,2024-05-12
OFF000073,15706552,loan_preapproval,0,2023-03-02
OFF000074,15706552,loan_preapproval,0,2024-02-04
OFF000075,15706552,savings_bonus,0,2024-04-10
OFF000076,15750181,insurance_bundle,0,2024-07-23
OFF000077,15750181,insurance_bundle,0,2023-10-31
OFF000078,15659428,credit_card_upgrade,0,2024-07-09
OFF000079,15794171,savings_bonus,1,2024-08-21
OFF000080,15794171,insurance_bundle,0,2024-06-27
OFF000081,15794171,loan_preapproval,1,2024-06-04
OFF000082,15794171,credit_card_upgrade,0,2023-03-12
OFF000083,15794171,fee_waiver,1,2023-08-29
OFF000084,15788448,credit_card_upgrade,0,2024-08-06
OFF000085,15788448,loan_preapproval,0,2023-02-10
OFF000086,15788448,fee_waiver,1,2024-11-04
OFF000087,15729599,fee_waiver,0,2023-09-25
OFF000088,15729599,loan_preapproval,0,2023-11-18
OFF000089,15729599,loan_preapproval,0,2023-05-15
OFF000090,15729599,savings_bonus,0,2023-03-16
OFF000091,15585768,fee_waiver,0,2023-04-13
OFF000092,15585768,credit_card_upgrade,0,2024-06-02
OFF000093,15585768,savings_bonus,0,2023-12-24
OFF000094,15738148,savings_bonus,0,2024-03-24
OFF000095,15687946,savings_bonus,0,2024-10-31
OFF000096,15687946,fee_waiver,1,2024-07-21
OFF000097,15687946,savings_bonus,0,2023-04-17
OFF000098,15687946,loan_preapproval,0,2023-04-20
OFF000099,15755196,fee_waiver,0,2023-10-16
OFF000100,15755196,fee_waiver,0,2023-12-18
OFF000101,15755196,loan_preapproval,0,2023-09-28
OFF000102,15755196,fee_waiver,0,2023-02-22
OFF000103,15755196,credit_card_upgrade,0,2023-10-11
OFF000104,15602280,loan_preapproval,0,2023-09-26
OFF000105,15602280,loan_preapproval,0,2024-07-18
OFF000106,15771573,insurance_bundle,0,2023-04-25
OFF000107,15771573,credit_card_upgrade,0,2024-12-08
OFF000108,15771573,loan_preapproval,0,2024-01-14
OFF000109,15771573,fee_waiver,0,2024-03-16
OFF000110,15771573,loan_preapproval,1,2024-01-09
OFF000111,15771873,loan_preapproval,0,2024-11-13
OFF000112,15771873,credit_card_upgrade,0,2024-07-27
OFF000113,15616550,fee_waiver,0,2023-08-31
OFF000114,15616550,loan_preapproval,0,2023-07-01
OFF000115,15616550,insurance_bundle,1,2023-12-07
OFF000116,15768193,loan_preapproval,0,2024-12-19
OFF000117,15768193,credit_card_upgrade,0,2023-02-09
OFF000118,15768193,insurance_bundle,0,2024-04-16
OFF000119,15683553,savings_bonus,0,2023-08-22
